Experiment,Form,Precision,Recall,F1-Score,Support
ABLATE_metrical_foot,sonet,1.0,1.0,1.0,1135.0
ABLATE_metrical_foot,sonet anglický,0.0,0.0,0.0,7.0
ABLATE_metrical_foot,stance,1.0,0.9787234042553191,0.989247311827957,47.0
ABLATE_metrical_foot,tercína,1.0,1.0,1.0,16.0
ABLATE_metrical_foot,unfixed,0.9866888519134775,0.9809760132340778,0.9838241393612609,1209.0
ABLATE_metrical_foot_count,gazel,0.5333333333333333,0.8,0.64,20.0
ABLATE_metrical_foot_count,hrdinský kuplet,0.7384615384615385,0.96,0.8347826086956521,50.0
ABLATE_metrical_foot_count,limerik,1.0,1.0,1.0,2.0
ABLATE_metrical_foot_count,rondel,1.0,0.8181818181818182,0.9,11.0
ABLATE_metrical_foot_count,sapfická strofa,0.8,0.8421052631578947,0.8205128205128205,19.0
ABLATE_metrical_foot_count,sonet,1.0,1.0,1.0,1135.0
ABLATE_metrical_foot_count,sonet anglický,0.0,0.0,0.0,7.0
ABLATE_metrical_foot_count,stance,1.0,0.9787234042553191,0.989247311827957,47.0
ABLATE_metrical_foot_count,tercína,1.0,1.0,1.0,16.0
ABLATE_metrical_foot_count,unfixed,0.9849119865884325,0.9718775847808105,0.9783513738551207,1209.0
ABLATE_normalized_text,gazel,0.6666666666666666,0.8,0.7272727272727273,20.0
ABLATE_normalized_text,hrdinský kuplet,0.7903225806451613,0.98,0.875,50.0
ABLATE_normalized_text,limerik,1.0,1.0,1.0,2.0
ABLATE_normalized_text,rondel,0.8,0.7272727272727273,0.7619047619047619,11.0
ABLATE_normalized_text,sapfická strofa,0.7916666666666666,1.0,0.8837209302325582,19.0
ABLATE_normalized_text,sonet,1.0,1.0,1.0,1135.0
ABLATE_normalized_text,sonet anglický,0.0,0.0,0.0,7.0
ABLATE_normalized_text,stance,0.9787234042553191,0.9787234042553191,0.9787234042553191,47.0
ABLATE_normalized_text,tercína,1.0,1.0,1.0,16.0
ABLATE_normalized_text,unfixed,0.9891304347826086,0.978494623655914,0.9837837837837838,1209.0
ABLATE_normalized_title,gazel,0.6666666666666666,0.8,0.7272727272727273,20.0
ABLATE_normalized_title,hrdinský kuplet,0.7777777777777778,0.98,0.8672566371681416,50.0
ABLATE_normalized_title,limerik,1.0,1.0,1.0,2.0
ABLATE_normalized_title,rondel,1.0,0.8181818181818182,0.9,11.0
ABLATE_normalized_title,sapfická strofa,0.7916666666666666,1.0,0.8837209302325582,19.0
ABLATE_normalized_title,sonet,1.0,1.0,1.0,1135.0
ABLATE_normalized_title,sonet anglický,0.0,0.0,0.0,7.0
ABLATE_normalized_title,stance,0.9787234042553191,0.9787234042553191,0.9787234042553191,47.0
ABLATE_normalized_title,tercína,1.0,1.0,1.0,16.0
ABLATE_normalized_title,unfixed,0.9899665551839465,0.9793217535153019,0.9846153846153847,1209.0
