Experiment,Accuracy,Macro_F1,Micro_F1,Weighted_F1
CATEGORICAL_ONLY,0.9829093799682035,0.9160157394068017,0.9829093799682035,0.9838361051890129
ABLATE_metrical_foot_count,0.9825119236883942,0.9140836627140976,0.9825119236883942,0.9834295371283862
FULL_MODEL,0.9817170111287759,0.9118543082637529,0.9817170111287759,0.9829143711032662
ABLATE_line_count,0.9817170111287759,0.9118543082637529,0.9817170111287759,0.9829143711032662
ABLATE_average_syllable_count,0.9813195548489666,0.9111409736291156,0.9813195548489666,0.9824494907678766
ABLATE_metrical_foot,0.9813195548489666,0.9106974725670085,0.9813195548489666,0.9822181025784682
ABLATE_total_syllables,0.9813195548489666,0.9106936175279152,0.9813195548489666,0.9826208293162867
ABLATE_rhyme_scheme,0.9733704292527822,0.8801929644384725,0.9733704292527822,0.9765282290227014
ABLATE_rhyme_scheme_per_stanza,0.9697933227344993,0.8529316304042126,0.9697933227344993,0.9731238052777805
ABLATE_stanza_scheme,0.9328298887122417,0.8317970636716601,0.9328298887122417,0.9337826051919726
NUMERIC_ONLY,0.25,0.15788017158481799,0.25,0.35991695121691936
